Structural Group,Element,Element Description,Primary Material,Reinforcement Ratio,Primary Carbon Rate A1-3,Primary Carbon Rate A4,Primary Carbon Rate A5w,Reinforcement Carbon Rate A1-3,Reinforcement Carbon Rate A4,Reinforcement Carbon Rate A5w,Quantity Primary,Quantity Reinforcement,Primary Carbon(A1-3),Primary Carbon(A4),Primary Carbon(A5w),Reinforcement Carbon(A1-3),Reinforcement Carbon (A4),Reinforcement Carbon(A5w),Combined Carbon (A1-3),Combined Carbon (A4),Combined Carbon (A5w)
Superstructure,Superstructure,Deck Slab,In-situ Concrete 35/45,345.0,0.14,0.01,0.01,2.29,0.19,0.13,1854.3174205057323,85.241773,623056.0000000001,44504.0,44504.0,1532348.7412196998,127138.1051667,86989.2298509,2155404.7412197,171642.1051667,131493.2298509
Superstructure,Superstructure,Stringer Beams,Precast Concrete 40/50,200.0,0.17,0.03,0,2.29,0.19,0.13,76.70377595145257,2.005327,31295.140608,5522.671872,0.0,36048.76936970685,2990.9459302376863,2046.436689109996,67343.90997770685,8513.617802237686,2046.436689109996
Superstructure,Superstructure,Main Girders,Precast Concrete 40/50,200.0,0.17,0.03,0,2.29,0.19,0.13,272.82011473873683,7.132552,111310.60692,19643.04828,0.0,128218.321375187,10638.201336805909,7278.769335709306,239528.928295187,30281.249616805908,7278.769335709306
Superstructure,Superstructure,Transverse Girders,Precast Concrete 40/50,200.0,0.17,0.03,0,2.29,0.19,0.13,8.698097751592357,0.227401,3548.823984,626.263056,0.0,4087.878542,339.168962,232.062974,7636.702526,965.432018,232.062974
Superstructure,Superstructure,Concrete Trimming,In-situ Concrete 32/40,150.0,0.13,0.01,0.01,2.29,0.19,0.13,53.93468236942675,1.050676,16827.620784,1294.432368,1294.432368,18887.470473,1567.082703,1072.214481,35715.091257,2861.515071,2366.6468489999997
Substructure,Substructure,Cross heads and Plinths,In-situ Concrete 40/50,184.0,0.15,0.01,0.01,2.29,0.19,0.13,160.9339639732484,3.862751,57936.22704,3862.415136,3862.415136,69438.74383240001,5761.2931564,3941.9374228,127374.97087240001,9623.7082924,7804.3525588
Substructure,Substructure,Pier Columns,In-situ Concrete 40/50,190.0,0.15,0.01,0.01,2.29,0.19,0.13,672.3929020764331,16.678153,242055.0,16137.0,16137.0,299814.81603050005,24875.4650855,17020.055058500002,541869.8160305,41012.4650855,33157.0550585
Substructure,Substructure,Pier Permenent Formwork,In-situ Concrete 35/45,150.0,0.14,0.01,0.01,2.29,0.19,0.13,541.0066425605096,10.53909,181776.00000000003,12984.0,12984.0,189455.95928550002,15719.053390500003,10755.141793500003,371231.95928550005,28703.053390500005,23739.141793500003
Substructure,Substructure,Southern Abutment Diaphragm,In-situ Concrete 40/50,190.0,0.15,0.01,0.01,2.29,0.19,0.13,234.8212822242038,5.824549,84535.66152000001,5635.710768000001,5635.710768000001,104705.0010681,8687.314499099999,5943.9520257,189240.6625881,14323.0252671,11579.662793700001
Substructure,Substructure,North Abutment Body,In-situ Concrete 40/50,190.0,0.15,0.01,0.01,2.29,0.19,0.13,647.6228605834394,16.063752,233145.0,15543.0,15543.0,288770.0453163,23959.086729299997,16393.0593411,521915.0453163,39502.0867293,31936.0593411
